x;y;abba;acpe;acsa;beal;bepa;fagr;piru;Sampler
0;0;1;55;11;7;0;92;0;Brass
0;100;0;5;4;3;0;6;0;Brass
0;120;2;7;12;4;1;7;0;Brass
0;140;4;5;4;8;1;2;1;Brass
0;160;2;2;11;8;1;6;1;Brass
0;180;5;3;9;7;0;3;1;Brass
0;20;0;0;18;5;0;3;2;Brass
0;200;8;10;2;7;0;7;4;Brass
0;220;6;10;3;6;3;0;1;Brass
0;240;10;11;9;16;2;1;1;Brass
0;260;1;0;25;7;0;0;0;Brass
0;280;0;0;17;1;0;1;0;Brass
0;300;0;2;22;5;0;1;0;Brass
0;320;1;0;30;0;0;0;0;Brass
0;340;0;0;24;0;0;0;0;Brass
0;360;0;0;18;1;0;1;1;Brass
0;380;0;0;19;5;0;0;2;Brass
0;40;0;0;14;0;0;11;0;Brass
0;400;0;3;20;4;0;0;0;Brass
0;420;1;1;12;8;0;1;1;Brass
0;440;4;3;18;1;8;0;0;Brass
0;460;2;0;25;1;5;0;0;Brass
0;480;4;2;8;6;0;0;1;Brass
0;500;5;0;3;13;3;0;0;Brass
0;520;15;4;2;9;4;0;4;Brass
0;540;10;4;0;7;14;1;3;Brass
0;560;6;3;1;8;20;0;0;Brass
0;580;5;1;0;4;15;0;1;Brass
0;60;0;1;11;1;0;5;0;Brass
0;600;2;5;2;9;17;0;2;Brass
0;620;2;6;13;6;0;0;0;Brass
0;640;5;8;3;10;0;0;0;Brass
0;660;3;2;3;11;1;0;2;Brass
0;680;2;0;4;12;4;0;1;Brass
0;700;6;0;1;13;1;0;3;Brass
0;720;0;0;0;10;0;0;1;Brass
0;740;0;0;1;6;2;0;0;Brass
0;760;2;0;0;16;1;0;0;Brass
0;780;6;0;0;11;11;0;9;Brass
0;80;0;1;8;4;0;9;0;Brass
0;800;15;0;0;6;17;0;7;Brass
0;820;8;0;0;12;11;0;4;Brass
0;840;10;0;0;15;0;0;3;Brass
0;860;5;0;0;9;0;0;3;Brass
0;880;19;0;0;9;10;0;5;Brass
0;900;22;1;0;9;4;0;2;Brass
0;920;11;0;0;3;13;0;1;Brass
